"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.012245626E2,6.506001458E1,2.546676201E1,2.692270202E1,3.578421455E-1,NaN,5.756890928E0,5.212268008E0
1.022203325E2,6.506000742E1,2.546675074E1,2.647617689E1,4.283493836E-1,1.915637674E2,5.857098400E0,5.044612209E0
1.032153035E2,6.506001111E1,2.546674501E1,2.599291301E1,3.418180808E-1,NaN,5.790061132E0,4.627173580E0
1.042103930E2,6.506001037E1,2.546674522E1,2.580404238E1,3.200483568E-1,NaN,6.019840860E0,4.482324595E0
1.052178617E2,6.506000449E1,2.546674138E1,2.538130083E1,2.048223585E-1,1.918274753E2,6.082981121E0,4.234583181E0
1.062168050E2,6.505999618E1,2.546671872E1,2.514087639E1,6.143312157E-1,2.104966932E2,6.067853453E0,3.848493416E0
1.072197102E2,6.505999182E1,2.546670855E1,2.493148343E1,2.755443208E-1,2.313950125E2,6.214608285E0,3.764800857E0
1.082149273E2,6.505997223E1,2.546671080E1,2.555676905E1,4.660547617E-1,NaN,6.209622397E0,3.365632425E0
1.092190523E2,6.505994961E1,2.546670699E1,2.601738118E1,8.341371666E-1,2.008495900E2,6.305462561E0,3.266004141E0
1.102175865E2,6.505996389E1,2.546669050E1,2.606604697E1,6.055522068E-1,2.106265447E2,6.462154813E0,3.664925612E0
1.112164158E2,6.505996443E1,2.546663541E1,2.627318277E1,8.350342818E-1,2.352580091E2,6.712845527E0,4.028309184E0
1.122195517E2,6.505994844E1,2.546662742E1,2.696633515E1,7.754249249E-1,2.268362609E2,6.969255323E0,4.029246602E0
1.132329333E2,6.505994836E1,2.546660613E1,2.714952690E1,6.304698295E-1,2.291099809E2,7.042177734E0,4.237721056E0
1.142283093E2,6.505992515E1,2.546661125E1,2.723462177E1,9.308129378E-1,2.126333717E2,7.066356058E0,4.540943872E0
1.152313491E2,6.505991200E1,2.546660410E1,2.763750753E1,6.995143923E-1,2.136781902E2,7.075543555E0,4.741731573E0
1.162215050E2,6.505988331E1,2.546660731E1,2.794637165E1,6.944855187E-1,2.051440082E2,7.062741989E0,5.067106536E0
1.172293589E2,6.505985276E1,2.546662893E1,2.874947085E1,5.509509696E-1,1.932889780E2,6.993901465E0,5.325032474E0
1.182323523E2,6.505985886E1,2.546662252E1,2.944967915E1,1.514483863E-1,1.929929734E2,7.016680331E0,5.585187527E0
1.192317878E2,6.505984858E1,2.546663027E1,3.039328440E1,3.148853545E-1,1.929929795E2,7.145845280E0,5.760487009E0
1.202211769E2,6.505983690E1,2.546664464E1,3.058834466E1,3.278177329E-1,1.929929912E2,7.164031114E0,5.750996912E0
1.212320744E2,6.505983126E1,2.546665293E1,3.134733340E1,2.873875965E-1,1.929929980E2,7.363897203E0,5.998532442E0
1.222297463E2,6.505982105E1,2.546665251E1,3.170443471E1,3.229988971E-1,1.929929973E2,7.382215589E0,6.509266063E0
1.232259505E2,6.505981917E1,2.546666954E1,3.124165789E1,1.429907048E-1,1.929930115E2,7.394277340E0,6.958710563E0
1.242263550E2,6.505980817E1,2.546667347E1,3.218475165E1,3.053946137E-1,1.929930145E2,7.477115280E0,7.451798175E0
1.252249800E2,6.505980505E1,2.546667884E1,3.260930384E1,3.838784906E-1,1.929930189E2,7.426734766E0,7.423765439E0
1.262217424E2,6.505979427E1,2.546667923E1,3.282776700E1,6.525201096E-1,1.962684181E2,7.369997855E0,7.431760767E0
1.272247818E2,6.505980920E1,2.546667397E1,3.240649919E1,2.301551912E-1,2.855185788E2,7.330290912E0,7.887006888E0
1.282130938E2,6.505980843E1,2.546666702E1,3.215394530E1,3.283620817E-1,2.855185721E2,7.242285706E0,7.333139975E0
1.292180047E2,6.505980427E1,2.546666081E1,3.159773830E1,2.582686818E-1,2.855185653E2,7.281641417E0,6.770722461E0
1.302191842E2,6.505979198E1,2.546665756E1,3.166788721E1,2.821907470E-1,2.855185594E2,7.242876129E0,6.167290129E0
1.312200458E2,6.505978123E1,2.546666274E1,3.145804329E1,2.063633919E-1,2.855185617E2,7.332459190E0,5.272166425E0
1.322226092E2,6.505977299E1,2.546664214E1,3.083177914E1,3.292842563E-1,2.855185405E2,7.317458967E0,5.150817217E0
1.332294714E2,6.505976374E1,2.546663709E1,3.095694057E1,1.694710908E-1,2.855185336E2,7.457875065E0,5.263736199E0
