"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.630833875E0,9.043118079E-1,3.899063730E-1,1.165779850E0
2.640819875E0,6.834645192E-1,1.651867658E-1,9.322040498E-1
2.650805875E0,4.261107244E-1,2.415280133E-2,4.787858051E-1
2.660792875E0,2.185377847E-1,-6.937282830E-2,-2.764914393E-2
2.670778875E0,-1.655814528E-2,-1.089078999E-1,-3.620052141E-1
2.680764875E0,-2.305523510E-1,-1.417432317E-1,-5.006923985E-1
2.690750875E0,-2.735899048E-1,-2.002794152E-1,-4.674480540E-1
2.700736875E0,-2.236657928E-1,-3.208273673E-1,-2.740806323E-1
2.710722875E0,-2.050872883E-1,-4.593663248E-1,3.648487151E-2
2.720708875E0,-1.477098767E-1,-6.135749432E-1,3.680214143E-1
2.730694875E0,-2.385912493E-2,-7.859561232E-1,8.409956717E-1
2.740680875E0,1.065536647E-1,-9.772223479E-1,1.396841347E0
2.750666875E0,1.102653310E-1,-1.143986692E0,1.611444687E0
2.760652875E0,6.107738346E-2,-1.224946363E0,1.619786325E0
2.770638875E0,7.461661130E-2,-1.255295459E0,1.496577889E0
2.780625875E0,4.050249338E-2,-1.203718339E0,1.172508826E0
2.790611875E0,-3.487688720E-2,-1.086202168E0,6.934125334E-1
2.800597875E0,-1.127188227E-1,-9.589000976E-1,1.499904370E-1
2.810583875E0,-1.052285394E-1,-7.905499882E-1,-3.194959563E-1
2.820569875E0,-8.616281569E-2,-7.373546514E-1,-6.782834476E-1
2.830555875E0,-6.406326413E-2,-7.619790307E-1,-9.696162897E-1
2.840541875E0,-5.039715171E-3,-7.548077130E-1,-1.168897585E0
2.850527875E0,1.880590269E-1,-7.052733180E-1,-1.131179536E0
2.860513875E0,4.141626701E-1,-6.466991276E-1,-7.829047537E-1
2.870499875E0,4.828124902E-1,-6.676023388E-1,-5.418620592E-1
2.880485875E0,4.723503596E-1,-7.258783212E-1,-4.811486650E-1
2.890471875E0,3.781128314E-1,-8.324134210E-1,-4.498274696E-1
2.900457875E0,1.868518692E-1,-9.114622217E-1,-4.714194828E-1
2.910443875E0,6.819695324E-2,-8.795367166E-1,-5.627974302E-1
2.920430875E0,-1.301414788E-1,-7.511821470E-1,-6.338159573E-1
